Fri Sep 22 17:58:09 2023    cProfile.prof

         154432090 function calls (151731458 primitive calls) in 116.544 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  116.544  116.544 {built-in method builtins.exec}
        1    0.000    0.000  116.544  116.544 <string>:1(<module>)
        1    0.000    0.000  116.544  116.544 D:\tarun\EDP\RobotProject\SDA-Intro-Problem\Main.py:22(Main)
        1    0.000    0.000  116.543  116.543 D:\tarun\EDP\RobotProject\SDA-Intro-Problem\Functions.py:87(MonteCarlo)
       20    0.480    0.024  116.542    5.827 D:\tarun\EDP\RobotProject\SDA-Intro-Problem\Functions.py:20(KF)
    16000    0.547    0.000   96.218    0.006 D:\tarun\EDP\RobotProject\SDA-Intro-Problem\Entities.py:101(Propagation)
    80000    1.778    0.000   82.832    0.001 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\basic.py:764(subs)
2465481/1770268    3.699    0.000   55.295    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\cache.py:69(wrapper)
611150/291137    1.040    0.000   48.097    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\basic.py:957(_subs)
4428931/4396931    4.397    0.000   42.459    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\sympify.py:92(sympify)
367356/181964    1.395    0.000   41.169    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\basic.py:1029(fallback)
1063680/744000    6.260    0.000   34.502    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\numbers.py:1031(__new__)
  1564162   10.460    0.000   31.401    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\basic.py:1867(_aresame)
    24000    0.746    0.000   23.501    0.001 D:\tarun\EDP\RobotProject\SDA-Intro-Problem\Entities.py:88(Dynamics)
